date,city,state,qty_cases,qty_deaths,ibge_id
2020-03-24,PARINTINS,AM,2,0,1303403
2020-03-25,PARINTINS,AM,2,1,1303403
2020-03-26,PARINTINS,AM,2,1,1303403
2020-03-27,PARINTINS,AM,2,1,1303403
2020-03-28,PARINTINS,AM,2,1,1303403
2020-03-29,PARINTINS,AM,2,1,1303403
2020-03-30,PARINTINS,AM,3,1,1303403
2020-03-31,PARINTINS,AM,3,1,1303403
2020-04-01,PARINTINS,AM,3,1,1303403
2020-03-26,SANTO ANTONIO DO ICA,AM,1,0,1303700
2020-03-27,SANTO ANTONIO DO ICA,AM,1,0,1303700
2020-03-28,SANTO ANTONIO DO ICA,AM,1,0,1303700
2020-03-29,SANTO ANTONIO DO ICA,AM,1,0,1303700
2020-03-30,SANTO ANTONIO DO ICA,AM,1,0,1303700
2020-03-31,SANTO ANTONIO DO ICA,AM,1,0,1303700
2020-04-01,SANTO ANTONIO DO ICA,AM,4,0,1303700
2020-03-20,MACAPA,AP,1,0,1600303
2020-03-21,MACAPA,AP,1,0,1600303
2020-03-22,MACAPA,AP,1,0,1600303
2020-03-23,MACAPA,AP,1,0,1600303
2020-03-24,MACAPA,AP,1,0,1600303
2020-03-25,MACAPA,AP,2,0,1600303
2020-03-26,MACAPA,AP,2,0,1600303
2020-03-27,MACAPA,AP,3,0,1600303
2020-03-28,MACAPA,AP,4,0,1600303
2020-03-29,MACAPA,AP,4,0,1600303
2020-03-30,MACAPA,AP,8,0,1600303
2020-03-31,MACAPA,AP,10,0,1600303
2020-04-01,MACAPA,AP,11,0,1600303
2020-03-26,ALAGOINHAS,BA,1,0,2900702
2020-03-27,ALAGOINHAS,BA,1,0,2900702
2020-03-28,ALAGOINHAS,BA,1,0,2900702
2020-03-29,ALAGOINHAS,BA,1,0,2900702
2020-03-30,ALAGOINHAS,BA,1,0,2900702
2020-03-31,ALAGOINHAS,BA,3,0,2900702
2020-04-01,ALAGOINHAS,BA,3,0,2900702
2020-03-31,BARRA,BA,1,0,2902708
2020-04-01,BARRA,BA,1,0,2902708
2020-04-01,BARRA DO ROCHA,BA,1,0,2903102
2020-03-22,BARREIRAS,BA,1,0,2903201
2020-03-23,BARREIRAS,BA,1,0,2903201
2020-03-24,BARREIRAS,BA,1,0,2903201
2020-03-25,BARREIRAS,BA,1,0,2903201
2020-03-26,BARREIRAS,BA,1,0,2903201
2020-03-27,BARREIRAS,BA,1,0,2903201
2020-03-28,BARREIRAS,BA,1,0,2903201
2020-03-29,BARREIRAS,BA,1,0,2903201
2020-03-30,BARREIRAS,BA,1,0,2903201
2020-03-31,BARREIRAS,BA,1,0,2903201
2020-04-01,BARREIRAS,BA,1,0,2903201
2020-03-23,BRUMADO,BA,1,0,2904605
2020-03-24,BRUMADO,BA,1,0,2904605
2020-03-25,BRUMADO,BA,1,0,2904605
2020-03-26,BRUMADO,BA,1,0,2904605
2020-03-27,BRUMADO,BA,1,0,2904605
2020-03-28,BRUMADO,BA,1,0,2904605
2020-03-29,BRUMADO,BA,1,0,2904605
2020-03-30,BRUMADO,BA,1,0,2904605
2020-03-31,BRUMADO,BA,4,0,2904605
2020-04-01,BRUMADO,BA,5,0,2904605
2020-03-20,CAMACARI,BA,1,0,2905701
2020-03-21,CAMACARI,BA,1,0,2905701
2020-03-22,CAMACARI,BA,1,0,2905701
2020-03-23,CAMACARI,BA,1,0,2905701
2020-03-24,CAMACARI,BA,1,0,2905701
2020-03-25,CAMACARI,BA,1,0,2905701
2020-03-26,CAMACARI,BA,1,0,2905701
2020-03-27,CAMACARI,BA,1,0,2905701
2020-03-28,CAMACARI,BA,1,0,2905701
2020-03-29,CAMACARI,BA,1,0,2905701
2020-03-30,CAMACARI,BA,1,0,2905701
2020-03-31,CAMACARI,BA,2,0,2905701
2020-04-01,CAMACARI,BA,4,0,2905701
2020-03-25,CANARANA,BA,1,0,2906204
2020-03-26,CANARANA,BA,1,0,2906204
2020-03-27,CANARANA,BA,1,0,2906204
2020-03-28,CANARANA,BA,1,0,2906204
2020-03-29,CANARANA,BA,1,0,2906204
2020-03-30,CANARANA,BA,1,0,2906204
2020-03-31,CANARANA,BA,1,0,2906204
2020-04-01,CANARANA,BA,1,0,2906204
2020-03-31,CANDEIAS,BA,1,0,2906501
2020-04-01,CANDEIAS,BA,1,0,2906501
2020-03-31,CATU,BA,1,0,2907509
2020-04-01,CATU,BA,0,0,2907509
2020-03-31,COARACI,BA,1,0,2908002
2020-04-01,COARACI,BA,1,0,2908002
2020-03-22,CONCEICAO DO JACUIPE,BA,1,0,2908507
2020-03-23,CONCEICAO DO JACUIPE,BA,1,0,2908507
2020-03-24,CONCEICAO DO JACUIPE,BA,1,0,2908507
2020-03-25,CONCEICAO DO JACUIPE,BA,1,0,2908507
2020-03-26,CONCEICAO DO JACUIPE,BA,1,0,2908507
2020-03-27,CONCEICAO DO JACUIPE,BA,1,0,2908507
2020-03-28,CONCEICAO DO JACUIPE,BA,1,0,2908507
2020-03-29,CONCEICAO DO JACUIPE,BA,1,0,2908507
2020-03-30,CONCEICAO DO JACUIPE,BA,1,0,2908507
2020-03-31,CONCEICAO DO JACUIPE,BA,1,0,2908507
2020-04-01,CONCEICAO DO JACUIPE,BA,1,0,2908507
2020-03-24,CONDE,BA,1,0,2908606
2020-03-25,CONDE,BA,1,0,2908606
2020-03-26,CONDE,BA,1,0,2908606
2020-03-27,CONDE,BA,1,0,2908606
2020-03-28,CONDE,BA,1,0,2908606
2020-03-29,CONDE,BA,1,0,2908606
2020-03-30,CONDE,BA,1,0,2908606
2020-03-31,CONDE,BA,1,0,2908606
2020-04-01,CONDE,BA,1,0,2908606
2020-03-30,DIAS DAVILA,BA,1,0,2910057
2020-03-31,DIAS DAVILA,BA,1,0,2910057
2020-04-01,DIAS DAVILA,BA,1,0,2910057
2020-03-06,FEIRA DE SANTANA,BA,1,0,2910800
2020-03-07,FEIRA DE SANTANA,BA,2,0,2910800
2020-03-08,FEIRA DE SANTANA,BA,2,0,2910800
2020-03-09,FEIRA DE SANTANA,BA,2,0,2910800
2020-03-10,FEIRA DE SANTANA,BA,2,0,2910800
2020-03-11,FEIRA DE SANTANA,BA,3,0,2910800
2020-03-12,FEIRA DE SANTANA,BA,3,0,2910800
2020-03-13,FEIRA DE SANTANA,BA,4,0,2910800
2020-03-14,FEIRA DE SANTANA,BA,5,0,2910800
2020-03-15,FEIRA DE SANTANA,BA,5,0,2910800
2020-03-16,FEIRA DE SANTANA,BA,5,0,2910800
2020-03-17,FEIRA DE SANTANA,BA,5,0,2910800
2020-03-18,FEIRA DE SANTANA,BA,5,0,2910800
2020-03-19,FEIRA DE SANTANA,BA,5,0,2910800
2020-03-20,FEIRA DE SANTANA,BA,6,0,2910800
2020-03-21,FEIRA DE SANTANA,BA,6,0,2910800
2020-03-22,FEIRA DE SANTANA,BA,6,0,2910800
2020-03-23,FEIRA DE SANTANA,BA,6,0,2910800
2020-03-24,FEIRA DE SANTANA,BA,8,0,2910800
2020-03-25,FEIRA DE SANTANA,BA,8,0,2910800
2020-03-26,FEIRA DE SANTANA,BA,9,0,2910800
2020-03-27,FEIRA DE SANTANA,BA,9,0,2910800
2020-03-28,FEIRA DE SANTANA,BA,9,0,2910800
2020-03-29,FEIRA DE SANTANA,BA,9,0,2910800
2020-03-30,FEIRA DE SANTANA,BA,12,0,2910800
2020-03-31,FEIRA DE SANTANA,BA,18,0,2910800
2020-04-01,FEIRA DE SANTANA,BA,19,0,2910800
2020-03-25,ILHEUS,BA,1,0,2913606
2020-03-26,ILHEUS,BA,1,0,2913606
2020-03-27,ILHEUS,BA,2,0,2913606
2020-03-28,ILHEUS,BA,2,0,2913606
2020-03-29,ILHEUS,BA,2,0,2913606
2020-03-30,ILHEUS,BA,2,0,2913606
2020-03-31,ILHEUS,BA,6,0,2913606
2020-04-01,ILHEUS,BA,7,0,2913606
2020-03-27,IPIAU,BA,1,0,2913903
2020-03-28,IPIAU,BA,1,0,2913903
2020-03-29,IPIAU,BA,1,0,2913903
2020-03-30,IPIAU,BA,1,0,2913903
2020-03-31,IPIAU,BA,1,0,2913903
2020-04-01,IPIAU,BA,1,0,2913903
2020-03-19,ITABUNA,BA,1,0,2914802
2020-03-20,ITABUNA,BA,1,0,2914802
2020-03-21,ITABUNA,BA,1,0,2914802
2020-03-22,ITABUNA,BA,1,0,2914802
2020-03-23,ITABUNA,BA,1,0,2914802
2020-03-24,ITABUNA,BA,1,0,2914802
2020-03-25,ITABUNA,BA,1,0,2914802
2020-03-26,ITABUNA,BA,2,0,2914802
2020-03-27,ITABUNA,BA,2,0,2914802
2020-03-28,ITABUNA,BA,2,0,2914802
2020-03-29,ITABUNA,BA,2,0,2914802
2020-03-30,ITABUNA,BA,3,0,2914802
2020-03-31,ITABUNA,BA,4,0,2914802
2020-04-01,ITABUNA,BA,4,0,2914802
2020-03-28,ITAGIBA,BA,1,0,2915205
2020-03-29,ITAGIBA,BA,1,0,2915205
2020-03-30,ITAGIBA,BA,1,0,2915205
2020-03-31,ITAGIBA,BA,1,0,2915205
2020-04-01,ITAGIBA,BA,1,0,2915205
2020-03-31,ITAJUIPE,BA,3,0,2915502
2020-04-01,ITAJUIPE,BA,3,0,2915502
2020-03-29,ITAMARAJU,BA,1,0,2915601
2020-03-30,ITAMARAJU,BA,1,0,2915601
2020-03-31,ITAMARAJU,BA,1,0,2915601
2020-04-01,ITAMARAJU,BA,1,0,2915601
2020-03-29,ITORORO,BA,1,0,2917102
2020-03-30,ITORORO,BA,1,0,2917102
2020-03-31,ITORORO,BA,1,0,2917102
2020-04-01,ITORORO,BA,1,0,2917102
2020-03-23,JEQUIE,BA,1,0,2918001
2020-03-24,JEQUIE,BA,1,0,2918001
2020-03-25,JEQUIE,BA,1,0,2918001
2020-03-26,JEQUIE,BA,1,0,2918001
2020-03-27,JEQUIE,BA,1,0,2918001
2020-03-28,JEQUIE,BA,1,0,2918001
2020-03-29,JEQUIE,BA,1,0,2918001
2020-03-30,JEQUIE,BA,1,0,2918001
2020-03-31,JEQUIE,BA,1,0,2918001
2020-04-01,JEQUIE,BA,1,0,2918001
2020-03-23,JUAZEIRO,BA,1,0,2918407
2020-03-24,JUAZEIRO,BA,2,0,2918407
2020-03-25,JUAZEIRO,BA,2,0,2918407
2020-03-26,JUAZEIRO,BA,2,0,2918407
2020-03-27,JUAZEIRO,BA,2,0,2918407
2020-03-28,JUAZEIRO,BA,2,0,2918407
2020-03-29,JUAZEIRO,BA,2,0,2918407
2020-03-30,JUAZEIRO,BA,2,0,2918407
2020-03-31,JUAZEIRO,BA,2,0,2918407
2020-04-01,JUAZEIRO,BA,2,0,2918407
2020-03-19,LAURO DE FREITAS,BA,2,0,2919207
2020-03-20,LAURO DE FREITAS,BA,3,0,2919207
2020-03-21,LAURO DE FREITAS,BA,3,0,2919207
2020-03-22,LAURO DE FREITAS,BA,3,0,2919207
2020-03-23,LAURO DE FREITAS,BA,3,0,2919207
2020-03-24,LAURO DE FREITAS,BA,3,0,2919207
2020-03-25,LAURO DE FREITAS,BA,3,0,2919207
2020-03-26,LAURO DE FREITAS,BA,5,0,2919207
2020-03-27,LAURO DE FREITAS,BA,7,0,2919207
2020-03-28,LAURO DE FREITAS,BA,7,0,2919207
2020-03-29,LAURO DE FREITAS,BA,11,0,2919207
2020-03-30,LAURO DE FREITAS,BA,12,0,2919207
2020-03-31,LAURO DE FREITAS,BA,12,0,2919207
2020-04-01,LAURO DE FREITAS,BA,12,0,2919207
2020-03-31,MEDEIROS NETO,BA,1,0,2921104
2020-04-01,MEDEIROS NETO,BA,1,0,2921104
2020-03-30,NOVA SOURE,BA,1,0,2922904
2020-03-31,NOVA SOURE,BA,1,0,2922904
2020-04-01,NOVA SOURE,BA,1,0,2922904
2020-03-29,POJUCA,BA,1,0,2925204
2020-03-30,POJUCA,BA,1,0,2925204
2020-03-31,POJUCA,BA,1,0,2925204
2020-04-01,POJUCA,BA,1,0,2925204
2020-03-16,PORTO SEGURO,BA,1,0,2925303
2020-03-17,PORTO SEGURO,BA,3,0,2925303
2020-03-18,PORTO SEGURO,BA,4,0,2925303
2020-03-19,PORTO SEGURO,BA,4,0,2925303
2020-03-20,PORTO SEGURO,BA,4,0,2925303
2020-03-21,PORTO SEGURO,BA,5,0,2925303
2020-03-22,PORTO SEGURO,BA,7,0,2925303
2020-03-23,PORTO SEGURO,BA,8,0,2925303
2020-03-24,PORTO SEGURO,BA,8,0,2925303
2020-03-25,PORTO SEGURO,BA,8,0,2925303
2020-03-26,PORTO SEGURO,BA,10,0,2925303
2020-03-27,PORTO SEGURO,BA,10,0,2925303
2020-03-28,PORTO SEGURO,BA,10,0,2925303
2020-03-29,PORTO SEGURO,BA,10,0,2925303
2020-03-30,PORTO SEGURO,BA,10,0,2925303
2020-03-31,PORTO SEGURO,BA,10,0,2925303
2020-04-01,PORTO SEGURO,BA,10,0,2925303
2020-03-17,PRADO,BA,1,0,2925501
2020-03-18,PRADO,BA,1,0,2925501
2020-03-19,PRADO,BA,1,0,2925501
2020-03-20,PRADO,BA,1,0,2925501
2020-03-21,PRADO,BA,2,0,2925501
2020-03-22,PRADO,BA,2,0,2925501
2020-03-23,PRADO,BA,2,0,2925501
2020-03-24,PRADO,BA,2,0,2925501
2020-03-25,PRADO,BA,2,0,2925501
2020-03-26,PRADO,BA,2,0,2925501
2020-03-27,PRADO,BA,2,0,2925501
2020-03-28,PRADO,BA,3,0,2925501
2020-03-29,PRADO,BA,3,0,2925501
2020-03-30,PRADO,BA,2,0,2925501
2020-03-31,PRADO,BA,3,0,2925501
2020-04-01,PRADO,BA,3,0,2925501
2020-03-13,SALVADOR,BA,3,0,2927408
2020-03-14,SALVADOR,BA,4,0,2927408
2020-03-15,SALVADOR,BA,4,0,2927408
2020-03-16,SALVADOR,BA,4,0,2927408
2020-03-17,SALVADOR,BA,5,0,2927408
2020-03-18,SALVADOR,BA,17,0,2927408
2020-03-19,SALVADOR,BA,18,0,2927408
2020-03-20,SALVADOR,BA,18,0,2927408
2020-03-21,SALVADOR,BA,23,0,2927408
2020-03-22,SALVADOR,BA,33,0,2927408
2020-03-23,SALVADOR,BA,37,0,2927408
2020-03-24,SALVADOR,BA,48,0,2927408
2020-03-25,SALVADOR,BA,57,0,2927408
2020-03-26,SALVADOR,BA,63,0,2927408
2020-03-27,SALVADOR,BA,78,0,2927408
2020-03-28,SALVADOR,BA,81,0,2927408
2020-03-29,SALVADOR,BA,103,1,2927408
2020-03-30,SALVADOR,BA,117,2,2927408
2020-03-31,SALVADOR,BA,132,2,2927408
2020-04-01,SALVADOR,BA,153,2,2927408
2020-03-25,SAO DOMINGOS,BA,1,0,2928950
2020-03-26,SAO DOMINGOS,BA,1,0,2928950
2020-03-27,SAO DOMINGOS,BA,1,0,2928950
2020-03-28,SAO DOMINGOS,BA,1,0,2928950
2020-03-29,SAO DOMINGOS,BA,1,0,2928950
2020-03-30,SAO DOMINGOS,BA,1,0,2928950
2020-03-31,SAO DOMINGOS,BA,1,0,2928950
2020-04-01,SAO DOMINGOS,BA,1,0,2928950
2020-03-24,TEIXEIRA DE FREITAS,BA,1,0,2931350
2020-03-25,TEIXEIRA DE FREITAS,BA,1,0,2931350
2020-03-26,TEIXEIRA DE FREITAS,BA,1,0,2931350
2020-03-27,TEIXEIRA DE FREITAS,BA,1,0,2931350
2020-03-28,TEIXEIRA DE FREITAS,BA,1,0,2931350
2020-03-29,TEIXEIRA DE FREITAS,BA,1,0,2931350
2020-03-30,TEIXEIRA DE FREITAS,BA,1,0,2931350
2020-03-31,TEIXEIRA DE FREITAS,BA,1,0,2931350
2020-04-01,TEIXEIRA DE FREITAS,BA,2,0,2931350
2020-04-01,VITORIA DA CONQUISTA,BA,1,0,2933307
2020-04-01,undefined,BA,0,0,-1
2020-03-16,AQUIRAZ,CE,1,0,2301000
2020-03-17,AQUIRAZ,CE,1,0,2301000
2020-03-18,AQUIRAZ,CE,1,0,2301000
2020-03-19,AQUIRAZ,CE,1,0,2301000
2020-03-20,AQUIRAZ,CE,1,0,2301000
2020-03-21,AQUIRAZ,CE,4,0,2301000
2020-03-22,AQUIRAZ,CE,5,0,2301000
2020-03-23,AQUIRAZ,CE,6,0,2301000
2020-03-24,AQUIRAZ,CE,6,0,2301000
2020-03-25,AQUIRAZ,CE,6,0,2301000
2020-03-26,AQUIRAZ,CE,6,0,2301000
2020-03-27,AQUIRAZ,CE,6,0,2301000
2020-03-28,AQUIRAZ,CE,7,0,2301000
2020-03-29,AQUIRAZ,CE,7,0,2301000
2020-03-30,AQUIRAZ,CE,14,0,2301000
2020-03-31,AQUIRAZ,CE,14,0,2301000
2020-04-01,AQUIRAZ,CE,14,0,2301000
2020-03-30,BEBERIBE,CE,1,0,2302206
2020-03-31,BEBERIBE,CE,1,0,2302206
2020-04-01,BEBERIBE,CE,1,0,2302206
2020-03-28,CAUCAIA,CE,1,0,2303709
2020-03-29,CAUCAIA,CE,1,0,2303709
2020-03-30,CAUCAIA,CE,1,0,2303709
2020-03-31,CAUCAIA,CE,1,0,2303709
2020-04-01,CAUCAIA,CE,1,0,2303709
2020-04-01,EUSEBIO,CE,1,1,2304285
2020-03-15,FORTALEZA,CE,3,0,2304400
2020-03-16,FORTALEZA,CE,8,0,2304400
2020-03-17,FORTALEZA,CE,10,0,2304400
2020-03-18,FORTALEZA,CE,18,0,2304400
2020-03-19,FORTALEZA,CE,22,0,2304400
2020-03-20,FORTALEZA,CE,64,0,2304400
2020-03-21,FORTALEZA,CE,77,0,2304400
2020-03-22,FORTALEZA,CE,117,0,2304400
2020-03-23,FORTALEZA,CE,153,0,2304400
2020-03-24,FORTALEZA,CE,172,0,2304400
2020-03-25,FORTALEZA,CE,198,0,2304400
2020-03-26,FORTALEZA,CE,222,0,2304400
2020-03-27,FORTALEZA,CE,268,3,2304400
2020-03-28,FORTALEZA,CE,304,4,2304400
2020-03-29,FORTALEZA,CE,338,5,2304400
2020-03-30,FORTALEZA,CE,353,5,2304400
2020-03-31,FORTALEZA,CE,371,6,2304400
2020-04-01,FORTALEZA,CE,413,6,2304400
2020-03-20,FORTIM,CE,1,0,2304459
2020-03-21,FORTIM,CE,1,0,2304459
2020-03-22,FORTIM,CE,1,0,2304459
2020-03-23,FORTIM,CE,1,0,2304459
2020-03-24,FORTIM,CE,1,0,2304459
2020-03-25,FORTIM,CE,1,0,2304459
2020-03-26,FORTIM,CE,1,0,2304459
2020-03-27,FORTIM,CE,1,0,2304459
2020-03-28,FORTIM,CE,1,0,2304459
2020-03-29,FORTIM,CE,1,0,2304459
2020-03-30,FORTIM,CE,1,0,2304459
2020-03-31,FORTIM,CE,1,0,2304459
2020-04-01,FORTIM,CE,1,0,2304459
2020-03-29,ITAITINGA,CE,1,0,2306256
2020-03-30,ITAITINGA,CE,1,0,2306256
2020-03-31,ITAITINGA,CE,1,0,2306256
2020-04-01,ITAITINGA,CE,1,0,2306256
2020-03-20,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-21,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-22,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-23,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-24,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-25,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-26,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-27,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-28,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-29,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-30,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-31,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-04-01,JUAZEIRO DO NORTE,CE,1,0,2307304
2020-03-29,MARACANAU,CE,1,0,2307650
2020-03-30,MARACANAU,CE,1,0,2307650
2020-03-31,MARACANAU,CE,1,0,2307650
2020-04-01,MARACANAU,CE,1,0,2307650
2020-03-27,MARANGUAPE,CE,1,0,2307700
2020-03-28,MARANGUAPE,CE,1,0,2307700
2020-03-29,MARANGUAPE,CE,1,0,2307700
2020-03-30,MARANGUAPE,CE,1,0,2307700
2020-03-31,MARANGUAPE,CE,1,0,2307700
2020-04-01,MARANGUAPE,CE,1,0,2307700
2020-03-24,MAURITI,CE,1,0,2308104
2020-03-25,MAURITI,CE,1,0,2308104
2020-03-26,MAURITI,CE,1,0,2308104
2020-03-27,MAURITI,CE,1,0,2308104
2020-03-28,MAURITI,CE,1,0,2308104
2020-03-29,MAURITI,CE,1,0,2308104
2020-03-30,MAURITI,CE,1,0,2308104
2020-03-31,MAURITI,CE,1,0,2308104
2020-04-01,MAURITI,CE,1,0,2308104
2020-03-28,QUIXADA,CE,2,0,2311306
2020-03-29,QUIXADA,CE,2,0,2311306
2020-03-30,QUIXADA,CE,2,0,2311306
2020-03-31,QUIXADA,CE,2,0,2311306
2020-04-01,QUIXADA,CE,2,0,2311306
2020-03-31,SANTA QUITERIA,CE,1,1,2312205
2020-04-01,SANTA QUITERIA,CE,1,1,2312205
2020-03-18,SOBRAL,CE,1,0,2312908
2020-03-19,SOBRAL,CE,1,0,2312908
2020-03-20,SOBRAL,CE,1,0,2312908
2020-03-21,SOBRAL,CE,1,0,2312908
2020-03-22,SOBRAL,CE,1,0,2312908
2020-03-23,SOBRAL,CE,3,0,2312908
2020-03-24,SOBRAL,CE,4,0,2312908
2020-03-25,SOBRAL,CE,4,0,2312908
2020-03-26,SOBRAL,CE,4,0,2312908
2020-03-27,SOBRAL,CE,4,0,2312908
2020-03-28,SOBRAL,CE,4,0,2312908
2020-03-29,SOBRAL,CE,5,0,2312908
2020-03-30,SOBRAL,CE,5,0,2312908
2020-03-31,SOBRAL,CE,5,0,2312908
2020-04-01,SOBRAL,CE,5,0,2312908
2020-04-01,TIANGUA,CE,1,1,2313401
2020-03-05,BRASILIA,DF,0,0,5300108
2020-03-06,BRASILIA,DF,0,0,5300108
2020-03-07,BRASILIA,DF,1,0,5300108
2020-03-08,BRASILIA,DF,1,0,5300108
2020-03-09,BRASILIA,DF,1,0,5300108
2020-03-10,BRASILIA,DF,1,0,5300108
2020-03-11,BRASILIA,DF,2,0,5300108
2020-03-12,BRASILIA,DF,2,0,5300108
