data,municipio,uf,casos confirmados,mortes
20/03/2020,Maceió,AL,6,
21/03/2020,Maceió,AL,7,
22/03/2020,Maceió,AL,7,
23/03/2020,Maceió,AL,8,
24/03/2020,Maceió,AL,10,
25/03/2020,Maceió,AL,10,
26/03/2020,Maceió,AL,10,
27/03/2020,Maceió,AL,11,
28/03/2020,Maceió,AL,13,
29/03/2020,Maceió,AL,16,
30/03/2020,Maceió,AL,16,
31/03/2020,Maceió,AL,17,
01/04/2020,Maceió,AL,17,
02/04/2020,Maceió,AL,17,
03/04/2020,Maceió,AL,17,2.0
04/04/2020,Maceió,AL,17,2.0
05/04/2020,Maceió,AL,20,2.0
06/04/2020,Maceió,AL,22,2.0
07/04/2020,Maceió,AL,24,2.0
08/04/2020,Maceió,AL,27,2.0
03/04/2020,Marechal Deodoro,AL,1,0.0
04/04/2020,Marechal Deodoro,AL,1,0.0
05/04/2020,Marechal Deodoro,AL,2,0.0
06/04/2020,Marechal Deodoro,AL,2,0.0
07/04/2020,Marechal Deodoro,AL,2,0.0
08/04/2020,Marechal Deodoro,AL,2,0.0
03/04/2020,Não informado,AL,4,0.0
04/04/2020,Não informado,AL,4,0.0
05/04/2020,Não informado,AL,5,0.0
06/04/2020,Não informado,AL,5,0.0
07/04/2020,Não informado,AL,6,0.0
08/04/2020,Não informado,AL,6,
06/04/2020,Palmeira dos Índios,AL,1,0.0
07/04/2020,Palmeira dos Índios,AL,1,0.0
08/04/2020,Palmeira dos Índios,AL,1,0.0
25/03/2020,Porto Real do Colégio,AL,1,
26/03/2020,Porto Real do Colégio,AL,1,
27/03/2020,Porto Real do Colégio,AL,1,
28/03/2020,Porto Real do Colégio,AL,1,
29/03/2020,Porto Real do Colégio,AL,1,
30/03/2020,Porto Real do Colégio,AL,1,
31/03/2020,Porto Real do Colégio,AL,1,
01/04/2020,Porto Real do Colégio,AL,1,
02/04/2020,Porto Real do Colégio,AL,1,
03/04/2020,Porto Real do Colégio,AL,1,0.0
04/04/2020,Porto Real do Colégio,AL,1,0.0
05/04/2020,Porto Real do Colégio,AL,1,0.0
06/04/2020,Porto Real do Colégio,AL,1,0.0
07/04/2020,Porto Real do Colégio,AL,1,0.0
08/04/2020,Porto Real do Colégio,AL,1,0.0
29/03/2020,Anori,AM,1,
30/03/2020,Anori,AM,1,
31/03/2020,Anori,AM,1,
01/04/2020,Anori,AM,1,
02/04/2020,Anori,AM,1,
03/04/2020,Anori,AM,1,0.0
04/04/2020,Anori,AM,1,0.0
05/04/2020,Anori,AM,1,0.0
06/04/2020,Anori,AM,1,0.0
07/04/2020,Anori,AM,1,0.0
08/04/2020,Anori,AM,1,0.0
26/03/2020,Boca do Acre,AM,1,
27/03/2020,Boca do Acre,AM,1,
28/03/2020,Boca do Acre,AM,1,
29/03/2020,Boca do Acre,AM,1,
30/03/2020,Boca do Acre,AM,1,
31/03/2020,Boca do Acre,AM,1,
01/04/2020,Boca do Acre,AM,1,
02/04/2020,Boca do Acre,AM,1,
03/04/2020,Boca do Acre,AM,1,0.0
04/04/2020,Boca do Acre,AM,1,0.0
05/04/2020,Boca do Acre,AM,1,0.0
06/04/2020,Boca do Acre,AM,1,0.0
07/04/2020,Boca do Acre,AM,1,0.0
08/04/2020,Boca do Acre,AM,1,0.0
02/04/2020,Careiro da Várzea,AM,1,
03/04/2020,Careiro da Várzea,AM,1,0.0
04/04/2020,Careiro da Várzea,AM,1,0.0
05/04/2020,Careiro da Várzea,AM,1,0.0
06/04/2020,Careiro da Várzea,AM,1,0.0
07/04/2020,Careiro da Várzea,AM,2,0.0
08/04/2020,Careiro da Várzea,AM,2,0.0
08/04/2020,Não informado,AM,0,0.0
05/04/2020,Iranduba,AM,2,0.0
06/04/2020,Iranduba,AM,3,0.0
07/04/2020,Iranduba,AM,3,0.0
08/04/2020,Iranduba,AM,9,0.0
29/03/2020,Itacoatiara,AM,2,
30/03/2020,Itacoatiara,AM,2,
31/03/2020,Itacoatiara,AM,4,
01/04/2020,Itacoatiara,AM,4,
02/04/2020,Itacoatiara,AM,4,
03/04/2020,Itacoatiara,AM,4,0.0
04/04/2020,Itacoatiara,AM,4,0.0
05/04/2020,Itacoatiara,AM,5,0.0
06/04/2020,Itacoatiara,AM,8,0.0
07/04/2020,Itacoatiara,AM,9,0.0
08/04/2020,Itacoatiara,AM,11,0.0
06/04/2020,Jutaí,AM,1,0.0
07/04/2020,Jutaí,AM,1,0.0
08/04/2020,Jutaí,AM,0,0.0
27/03/2020,Manacapuru,AM,2,
28/03/2020,Manacapuru,AM,2,
29/03/2020,Manacapuru,AM,2,
30/03/2020,Manacapuru,AM,2,
31/03/2020,Manacapuru,AM,4,
01/04/2020,Manacapuru,AM,6,
02/04/2020,Manacapuru,AM,6,
03/04/2020,Manacapuru,AM,10,1.0
04/04/2020,Manacapuru,AM,10,2.0
05/04/2020,Manacapuru,AM,16,3.0
06/04/2020,Manacapuru,AM,28,3.0
07/04/2020,Manacapuru,AM,42,3.0
08/04/2020,Manacapuru,AM,44,3.0
13/03/2020,Manaus,AM,1,
14/03/2020,Manaus,AM,1,
15/03/2020,Manaus,AM,1,
16/03/2020,Manaus,AM,1,
17/03/2020,Manaus,AM,1,
18/03/2020,Manaus,AM,2,
19/03/2020,Manaus,AM,3,
20/03/2020,Manaus,AM,7,
21/03/2020,Manaus,AM,11,
22/03/2020,Manaus,AM,25,
23/03/2020,Manaus,AM,31,
24/03/2020,Manaus,AM,45,
25/03/2020,Manaus,AM,52,
26/03/2020,Manaus,AM,63,
27/03/2020,Manaus,AM,75,
28/03/2020,Manaus,AM,105,
29/03/2020,Manaus,AM,131,
30/03/2020,Manaus,AM,140,
31/03/2020,Manaus,AM,160,2.0
01/04/2020,Manaus,AM,179,2.0
02/04/2020,Manaus,AM,205,2.0
03/04/2020,Manaus,AM,232,5.0
04/04/2020,Manaus,AM,283,9.0
05/04/2020,Manaus,AM,379,11.0
06/04/2020,Manaus,AM,473,11.0
07/04/2020,Manaus,AM,560,19.0
08/04/2020,Manaus,AM,712,25.0
08/04/2020,Manicoré,AM,1,0.0
06/04/2020,Não informado,AM,0,4.0
07/04/2020,Não informado,AM,0,4.0
08/04/2020,Não informado,AM,0,
30/03/2020,Novo Airão,AM,1,
31/03/2020,Novo Airão,AM,1,
01/04/2020,Novo Airão,AM,1,
02/04/2020,Novo Airão,AM,1,
03/04/2020,Novo Airão,AM,1,0.0
04/04/2020,Novo Airão,AM,1,0.0
05/04/2020,Novo Airão,AM,1,0.0
06/04/2020,Novo Airão,AM,1,0.0
07/04/2020,Novo Airão,AM,1,0.0
08/04/2020,Novo Airão,AM,1,1.0
22/03/2020,Parintins,AM,1,
23/03/2020,Parintins,AM,1,
24/03/2020,Parintins,AM,2,
25/03/2020,Parintins,AM,2,1.0
26/03/2020,Parintins,AM,2,1.0
27/03/2020,Parintins,AM,2,1.0
28/03/2020,Parintins,AM,2,1.0
29/03/2020,Parintins,AM,2,1.0
30/03/2020,Parintins,AM,3,1.0
31/03/2020,Parintins,AM,3,1.0
01/04/2020,Parintins,AM,3,1.0
02/04/2020,Parintins,AM,3,1.0
03/04/2020,Parintins,AM,3,1.0
04/04/2020,Parintins,AM,3,1.0
05/04/2020,Parintins,AM,3,1.0
06/04/2020,Parintins,AM,4,1.0
07/04/2020,Parintins,AM,4,1.0
08/04/2020,Parintins,AM,6,1.0
08/04/2020,Presidente Figueiredo,AM,2,0.0
26/03/2020,Santo Antônio do Içá,AM,1,
27/03/2020,Santo Antônio do Içá,AM,1,
28/03/2020,Santo Antônio do Içá,AM,1,
29/03/2020,Santo Antônio do Içá,AM,1,
30/03/2020,Santo Antônio do Içá,AM,1,
31/03/2020,Santo Antônio do Içá,AM,1,
01/04/2020,Santo Antônio do Içá,AM,4,
02/04/2020,Santo Antônio do Içá,AM,4,
03/04/2020,Santo Antônio do Içá,AM,4,0.0
04/04/2020,Santo Antônio do Içá,AM,4,0.0
05/04/2020,Santo Antônio do Içá,AM,5,0.0
06/04/2020,Santo Antônio do Içá,AM,7,0.0
07/04/2020,Santo Antônio do Içá,AM,7,0.0
08/04/2020,Santo Antônio do Içá,AM,7,0.0
06/04/2020,São Gabriel da Cachoeira,AM,1,0.0
07/04/2020,São Gabriel da Cachoeira,AM,1,0.0
08/04/2020,São Gabriel da Cachoeira,AM,0,0.0
07/04/2020,São Paulo de Olivença,AM,2,0.0
08/04/2020,São Paulo de Olivença,AM,3,0.0
08/04/2020,Tabatinga,AM,1,0.0
02/04/2020,Tonantins,AM,3,
03/04/2020,Tonantins,AM,3,0.0
04/04/2020,Tonantins,AM,3,0.0
05/04/2020,Tonantins,AM,3,0.0
06/04/2020,Tonantins,AM,3,0.0
07/04/2020,Tonantins,AM,3,0.0
08/04/2020,Tonantins,AM,3,0.0
08/04/2020,Não informado,AP,0,1.0
20/03/2020,Macapá,AP,1,
21/03/2020,Macapá,AP,1,
22/03/2020,Macapá,AP,1,
23/03/2020,Macapá,AP,1,
24/03/2020,Macapá,AP,1,
25/03/2020,Macapá,AP,2,
26/03/2020,Macapá,AP,2,
27/03/2020,Macapá,AP,3,
28/03/2020,Macapá,AP,4,
29/03/2020,Macapá,AP,4,
30/03/2020,Macapá,AP,8,
31/03/2020,Macapá,AP,10,
01/04/2020,Macapá,AP,11,
02/04/2020,Macapá,AP,12,
03/04/2020,Macapá,AP,19,0.0
04/04/2020,Macapá,AP,28,1.0
05/04/2020,Macapá,AP,29,1.0
06/04/2020,Macapá,AP,35,1.0
07/04/2020,Macapá,AP,44,1.0
08/04/2020,Macapá,AP,95,1.0
06/04/2020,Não informado,AP,0,1.0
07/04/2020,Não informado,AP,0,1.0
08/04/2020,Não informado,AP,0,
04/04/2020,Oiapoque,AP,1,0.0
05/04/2020,Oiapoque,AP,1,0.0
06/04/2020,Oiapoque,AP,1,0.0
07/04/2020,Oiapoque,AP,1,0.0
08/04/2020,Oiapoque,AP,1,0.0
05/04/2020,Santana,AP,2,0.0
06/04/2020,Santana,AP,3,0.0
07/04/2020,Santana,AP,3,0.0
08/04/2020,Santana,AP,11,0.0
04/04/2020,Adustina,BA,1,0.0
05/04/2020,Adustina,BA,1,0.0
06/04/2020,Adustina,BA,1,0.0
07/04/2020,Adustina,BA,1,1.0
08/04/2020,Adustina,BA,1,1.0
26/03/2020,Alagoinhas,BA,1,
27/03/2020,Alagoinhas,BA,1,
28/03/2020,Alagoinhas,BA,1,
29/03/2020,Alagoinhas,BA,1,
30/03/2020,Alagoinhas,BA,1,
31/03/2020,Alagoinhas,BA,3,
01/04/2020,Alagoinhas,BA,3,
02/04/2020,Alagoinhas,BA,3,
03/04/2020,Alagoinhas,BA,3,0.0
04/04/2020,Alagoinhas,BA,4,0.0
05/04/2020,Alagoinhas,BA,5,0.0
06/04/2020,Alagoinhas,BA,5,0.0
07/04/2020,Alagoinhas,BA,5,0.0
08/04/2020,Alagoinhas,BA,5,0.0
08/04/2020,Araci,BA,1,1.0
08/04/2020,Aurelino Leal,BA,1,0.0
31/03/2020,Barra,BA,1,
01/04/2020,Barra,BA,1,
02/04/2020,Barra,BA,1,
03/04/2020,Barra,BA,1,0.0
04/04/2020,Barra,BA,1,0.0
05/04/2020,Barra,BA,1,0.0
06/04/2020,Barra,BA,2,0.0
07/04/2020,Barra,BA,2,0.0
08/04/2020,Barra,BA,2,0.0
06/04/2020,Barra do Choça,BA,2,0.0
07/04/2020,Barra do Choça,BA,1,0.0
08/04/2020,Barra do Choça,BA,1,0.0
01/04/2020,Barra do Rocha,BA,1,
02/04/2020,Barra do Rocha,BA,1,
03/04/2020,Barra do Rocha,BA,1,0.0
04/04/2020,Barra do Rocha,BA,1,0.0
05/04/2020,Barra do Rocha,BA,1,0.0
06/04/2020,Barra do Rocha,BA,3,0.0
07/04/2020,Barra do Rocha,BA,3,0.0
08/04/2020,Barra do Rocha,BA,3,0.0
22/03/2020,Barreiras,BA,1,
23/03/2020,Barreiras,BA,1,
24/03/2020,Barreiras,BA,1,
25/03/2020,Barreiras,BA,1,
26/03/2020,Barreiras,BA,1,
27/03/2020,Barreiras,BA,1,
28/03/2020,Barreiras,BA,1,
29/03/2020,Barreiras,BA,1,
30/03/2020,Barreiras,BA,1,
31/03/2020,Barreiras,BA,1,
01/04/2020,Barreiras,BA,1,
02/04/2020,Barreiras,BA,1,
03/04/2020,Barreiras,BA,1,0.0
04/04/2020,Barreiras,BA,1,0.0
05/04/2020,Barreiras,BA,1,0.0
06/04/2020,Barreiras,BA,1,0.0
07/04/2020,Barreiras,BA,1,0.0
08/04/2020,Barreiras,BA,1,0.0
02/04/2020,Belmonte,BA,1,
03/04/2020,Belmonte,BA,1,0.0
04/04/2020,Belmonte,BA,1,0.0
05/04/2020,Belmonte,BA,1,0.0
06/04/2020,Belmonte,BA,1,0.0
07/04/2020,Belmonte,BA,1,0.0
08/04/2020,Belmonte,BA,2,0.0
23/03/2020,Brumado,BA,1,
24/03/2020,Brumado,BA,1,
25/03/2020,Brumado,BA,1,
26/03/2020,Brumado,BA,1,
27/03/2020,Brumado,BA,1,
28/03/2020,Brumado,BA,1,
29/03/2020,Brumado,BA,1,
30/03/2020,Brumado,BA,1,
31/03/2020,Brumado,BA,4,
01/04/2020,Brumado,BA,5,
02/04/2020,Brumado,BA,5,
03/04/2020,Brumado,BA,5,0.0
04/04/2020,Brumado,BA,5,0.0
05/04/2020,Brumado,BA,5,0.0
06/04/2020,Brumado,BA,5,0.0
07/04/2020,Brumado,BA,7,0.0
08/04/2020,Brumado,BA,7,0.0
04/04/2020,Cachoeira,BA,1,0.0
05/04/2020,Cachoeira,BA,1,0.0
06/04/2020,Cachoeira,BA,1,0.0
07/04/2020,Cachoeira,BA,1,0.0
08/04/2020,Cachoeira,BA,1,0.0
20/03/2020,Camaçari,BA,1,
21/03/2020,Camaçari,BA,1,
22/03/2020,Camaçari,BA,1,
23/03/2020,Camaçari,BA,1,
24/03/2020,Camaçari,BA,1,
25/03/2020,Camaçari,BA,1,
26/03/2020,Camaçari,BA,1,
27/03/2020,Camaçari,BA,1,
28/03/2020,Camaçari,BA,1,
29/03/2020,Camaçari,BA,1,
30/03/2020,Camaçari,BA,1,
31/03/2020,Camaçari,BA,2,
01/04/2020,Camaçari,BA,4,
02/04/2020,Camaçari,BA,4,
03/04/2020,Camaçari,BA,4,0.0
04/04/2020,Camaçari,BA,5,0.0
05/04/2020,Camaçari,BA,7,0.0
06/04/2020,Camaçari,BA,9,0.0
07/04/2020,Camaçari,BA,10,0.0
08/04/2020,Camaçari,BA,9,0.0
06/04/2020,Campo Formoso,BA,1,0.0
07/04/2020,Campo Formoso,BA,1,0.0
08/04/2020,Campo Formoso,BA,1,0.0
25/03/2020,Canarana,BA,1,
26/03/2020,Canarana,BA,1,
27/03/2020,Canarana,BA,1,
28/03/2020,Canarana,BA,1,
29/03/2020,Canarana,BA,1,
30/03/2020,Canarana,BA,1,
31/03/2020,Canarana,BA,1,
01/04/2020,Canarana,BA,1,
02/04/2020,Canarana,BA,1,
03/04/2020,Canarana,BA,1,0.0
04/04/2020,Canarana,BA,1,0.0
05/04/2020,Canarana,BA,1,0.0
06/04/2020,Canarana,BA,1,0.0
07/04/2020,Canarana,BA,1,0.0
08/04/2020,Canarana,BA,1,0.0
31/03/2020,Candeias,BA,1,
01/04/2020,Candeias,BA,1,
02/04/2020,Candeias,BA,1,
03/04/2020,Candeias,BA,1,0.0
04/04/2020,Candeias,BA,1,0.0
05/04/2020,Candeias,BA,1,0.0
06/04/2020,Candeias,BA,1,0.0
07/04/2020,Candeias,BA,1,0.0
08/04/2020,Candeias,BA,1,0.0
31/03/2020,Catu,BA,1,0.0
01/04/2020,Catu,BA,0,0.0
02/04/2020,Catu,BA,0,0.0
03/04/2020,Catu,BA,0,0.0
04/04/2020,Catu,BA,0,0.0
05/04/2020,Catu,BA,0,0.0
06/04/2020,Catu,BA,1,0.0
07/04/2020,Catu,BA,1,0.0
08/04/2020,Catu,BA,1,0.0
31/03/2020,Coaraci,BA,1,
01/04/2020,Coaraci,BA,1,
02/04/2020,Coaraci,BA,1,
03/04/2020,Coaraci,BA,1,0.0
04/04/2020,Coaraci,BA,1,0.0
05/04/2020,Coaraci,BA,1,0.0
06/04/2020,Coaraci,BA,1,0.0
07/04/2020,Coaraci,BA,1,0.0
08/04/2020,Coaraci,BA,2,0.0
08/04/2020,Conceição do Coité,BA,2,0.0
22/03/2020,Conceição do Jacuípe,BA,1,
23/03/2020,Conceição do Jacuípe,BA,1,
24/03/2020,Conceição do Jacuípe,BA,1,
25/03/2020,Conceição do Jacuípe,BA,1,
26/03/2020,Conceição do Jacuípe,BA,1,
27/03/2020,Conceição do Jacuípe,BA,1,
28/03/2020,Conceição do Jacuípe,BA,1,
29/03/2020,Conceição do Jacuípe,BA,1,
30/03/2020,Conceição do Jacuípe,BA,1,
31/03/2020,Conceição do Jacuípe,BA,1,
01/04/2020,Conceição do Jacuípe,BA,1,
02/04/2020,Conceição do Jacuípe,BA,1,
03/04/2020,Conceição do Jacuípe,BA,1,0.0
04/04/2020,Conceição do Jacuípe,BA,1,0.0
05/04/2020,Conceição do Jacuípe,BA,1,0.0
06/04/2020,Conceição do Jacuípe,BA,1,0.0
07/04/2020,Conceição do Jacuípe,BA,1,0.0
08/04/2020,Conceição do Jacuípe,BA,1,0.0
24/03/2020,Conde,BA,1,
25/03/2020,Conde,BA,1,
26/03/2020,Conde,BA,1,
27/03/2020,Conde,BA,1,
28/03/2020,Conde,BA,1,
29/03/2020,Conde,BA,1,
30/03/2020,Conde,BA,1,
31/03/2020,Conde,BA,1,
01/04/2020,Conde,BA,1,
02/04/2020,Conde,BA,1,
03/04/2020,Conde,BA,1,0.0
04/04/2020,Conde,BA,1,0.0
05/04/2020,Conde,BA,1,0.0
06/04/2020,Conde,BA,1,0.0
07/04/2020,Conde,BA,1,0.0
08/04/2020,Conde,BA,1,0.0
30/03/2020,Dias d'Ávila,BA,1,
31/03/2020,Dias d'Ávila,BA,1,
01/04/2020,Dias d'Ávila,BA,1,
02/04/2020,Dias d'Ávila,BA,1,
03/04/2020,Dias d'Ávila,BA,1,0.0
04/04/2020,Dias d'Ávila,BA,1,0.0
05/04/2020,Dias d'Ávila,BA,1,0.0
06/04/2020,Dias d'Ávila,BA,2,0.0
07/04/2020,Dias d'Ávila,BA,1,0.0
08/04/2020,Dias d'Ávila,BA,1,0.0
08/04/2020,Euclides da Cunha,BA,1,0.0
06/03/2020,Feira de Santana,BA,1,
07/03/2020,Feira de Santana,BA,2,
08/03/2020,Feira de Santana,BA,2,
09/03/2020,Feira de Santana,BA,2,
10/03/2020,Feira de Santana,BA,2,
11/03/2020,Feira de Santana,BA,3,
12/03/2020,Feira de Santana,BA,3,
13/03/2020,Feira de Santana,BA,4,
14/03/2020,Feira de Santana,BA,5,
15/03/2020,Feira de Santana,BA,5,
16/03/2020,Feira de Santana,BA,5,
17/03/2020,Feira de Santana,BA,5,
18/03/2020,Feira de Santana,BA,5,
19/03/2020,Feira de Santana,BA,5,
20/03/2020,Feira de Santana,BA,6,
21/03/2020,Feira de Santana,BA,6,
22/03/2020,Feira de Santana,BA,6,
23/03/2020,Feira de Santana,BA,6,
24/03/2020,Feira de Santana,BA,8,
25/03/2020,Feira de Santana,BA,8,
26/03/2020,Feira de Santana,BA,9,
27/03/2020,Feira de Santana,BA,9,
28/03/2020,Feira de Santana,BA,9,
29/03/2020,Feira de Santana,BA,9,
30/03/2020,Feira de Santana,BA,12,
31/03/2020,Feira de Santana,BA,18,
01/04/2020,Feira de Santana,BA,19,
02/04/2020,Feira de Santana,BA,22,
03/04/2020,Feira de Santana,BA,22,0.0
04/04/2020,Feira de Santana,BA,23,0.0
05/04/2020,Feira de Santana,BA,30,0.0
06/04/2020,Feira de Santana,BA,31,0.0
07/04/2020,Feira de Santana,BA,37,0.0
08/04/2020,Feira de Santana,BA,38,0.0
04/04/2020,Gandu,BA,1,0.0
05/04/2020,Gandu,BA,1,0.0
06/04/2020,Gandu,BA,1,0.0
07/04/2020,Gandu,BA,1,0.0
08/04/2020,Gandu,BA,1,0.0
08/04/2020,Gongogi,BA,1,0.0
05/04/2020,Ibirataia,BA,2,0.0
06/04/2020,Ibirataia,BA,2,0.0
07/04/2020,Ibirataia,BA,3,0.0
08/04/2020,Ibirataia,BA,3,0.0
06/04/2020,Ibotirama,BA,1,0.0
07/04/2020,Ibotirama,BA,1,0.0
08/04/2020,Ibotirama,BA,1,0.0
25/03/2020,Ilhéus,BA,1,
26/03/2020,Ilhéus,BA,1,
27/03/2020,Ilhéus,BA,2,
28/03/2020,Ilhéus,BA,2,
29/03/2020,Ilhéus,BA,2,
30/03/2020,Ilhéus,BA,2,
31/03/2020,Ilhéus,BA,6,
01/04/2020,Ilhéus,BA,7,
02/04/2020,Ilhéus,BA,8,
03/04/2020,Ilhéus,BA,8,0.0
04/04/2020,Ilhéus,BA,10,0.0
05/04/2020,Ilhéus,BA,12,0.0
06/04/2020,Ilhéus,BA,14,0.0
07/04/2020,Ilhéus,BA,18,0.0
08/04/2020,Ilhéus,BA,22,0.0
27/03/2020,Ipiaú,BA,1,0.0
28/03/2020,Ipiaú,BA,1,0.0
29/03/2020,Ipiaú,BA,1,0.0
30/03/2020,Ipiaú,BA,1,0.0
31/03/2020,Ipiaú,BA,1,0.0
01/04/2020,Ipiaú,BA,1,0.0
02/04/2020,Ipiaú,BA,1,0.0
03/04/2020,Ipiaú,BA,1,0.0
04/04/2020,Ipiaú,BA,1,0.0
05/04/2020,Ipiaú,BA,6,0.0
06/04/2020,Ipiaú,BA,6,0.0
07/04/2020,Ipiaú,BA,6,0.0
08/04/2020,Ipiaú,BA,6,1.0
19/03/2020,Itabuna,BA,1,
20/03/2020,Itabuna,BA,1,
21/03/2020,Itabuna,BA,1,
22/03/2020,Itabuna,BA,1,
23/03/2020,Itabuna,BA,1,
24/03/2020,Itabuna,BA,1,
25/03/2020,Itabuna,BA,1,
26/03/2020,Itabuna,BA,2,
27/03/2020,Itabuna,BA,2,
28/03/2020,Itabuna,BA,2,
29/03/2020,Itabuna,BA,2,
30/03/2020,Itabuna,BA,3,
31/03/2020,Itabuna,BA,4,
01/04/2020,Itabuna,BA,4,
02/04/2020,Itabuna,BA,4,
03/04/2020,Itabuna,BA,5,0.0
04/04/2020,Itabuna,BA,6,0.0
05/04/2020,Itabuna,BA,7,0.0
06/04/2020,Itabuna,BA,8,0.0
07/04/2020,Itabuna,BA,12,0.0
08/04/2020,Itabuna,BA,16,0.0
08/04/2020,Itagi,BA,1,0.0
28/03/2020,Itagibá,BA,1,
29/03/2020,Itagibá,BA,1,
30/03/2020,Itagibá,BA,1,
31/03/2020,Itagibá,BA,1,
01/04/2020,Itagibá,BA,1,
02/04/2020,Itagibá,BA,1,
03/04/2020,Itagibá,BA,1,0.0
04/04/2020,Itagibá,BA,2,0.0
05/04/2020,Itagibá,BA,2,0.0
06/04/2020,Itagibá,BA,2,0.0
07/04/2020,Itagibá,BA,3,0.0
08/04/2020,Itagibá,BA,3,0.0
31/03/2020,Itajuípe,BA,3,
01/04/2020,Itajuípe,BA,3,
02/04/2020,Itajuípe,BA,3,
03/04/2020,Itajuípe,BA,3,0.0
04/04/2020,Itajuípe,BA,3,0.0
05/04/2020,Itajuípe,BA,3,0.0
06/04/2020,Itajuípe,BA,3,0.0
07/04/2020,Itajuípe,BA,3,0.0
08/04/2020,Itajuípe,BA,3,0.0
29/03/2020,Itamaraju,BA,1,
30/03/2020,Itamaraju,BA,1,
31/03/2020,Itamaraju,BA,1,
01/04/2020,Itamaraju,BA,1,
02/04/2020,Itamaraju,BA,1,
03/04/2020,Itamaraju,BA,1,0.0
04/04/2020,Itamaraju,BA,1,0.0
05/04/2020,Itamaraju,BA,1,0.0
06/04/2020,Itamaraju,BA,1,0.0
07/04/2020,Itamaraju,BA,1,0.0
08/04/2020,Itamaraju,BA,1,0.0
04/04/2020,Itapetinga,BA,1,1.0
05/04/2020,Itapetinga,BA,1,1.0
06/04/2020,Itapetinga,BA,1,1.0
07/04/2020,Itapetinga,BA,2,1.0
08/04/2020,Itapetinga,BA,3,1.0
05/04/2020,Itarantim,BA,1,0.0
06/04/2020,Itarantim,BA,1,0.0
07/04/2020,Itarantim,BA,1,0.0
08/04/2020,Itarantim,BA,1,0.0
08/04/2020,Itatim,BA,1,0.0
29/03/2020,Itororó,BA,1,
30/03/2020,Itororó,BA,1,
31/03/2020,Itororó,BA,1,
01/04/2020,Itororó,BA,1,
02/04/2020,Itororó,BA,1,
03/04/2020,Itororó,BA,4,0.0
04/04/2020,Itororó,BA,4,0.0
05/04/2020,Itororó,BA,4,0.0
06/04/2020,Itororó,BA,4,0.0
07/04/2020,Itororó,BA,4,0.0
08/04/2020,Itororó,BA,4,0.0
23/03/2020,Jequié,BA,1,
24/03/2020,Jequié,BA,1,
25/03/2020,Jequié,BA,1,
26/03/2020,Jequié,BA,1,
27/03/2020,Jequié,BA,1,
28/03/2020,Jequié,BA,1,
29/03/2020,Jequié,BA,1,
30/03/2020,Jequié,BA,1,
31/03/2020,Jequié,BA,1,
01/04/2020,Jequié,BA,1,
02/04/2020,Jequié,BA,1,
