data,municipio,uf,casos confirmados,mortes,fonte
27/03/2020,Porto Real do Colégio,AL,1,,http://www.saude.al.gov.br/2020/03/27/boletim-covid-19-27-03-20-alagoas-tem-12-casos-confirmados/
28/03/2020,Porto Real do Colégio,AL,1,,http://www.saude.al.gov.br/2020/03/28/boletim-28-03-2020-alagoas-tem-14-casos-para-covid-19-confirmados/
29/03/2020,Porto Real do Colégio,AL,1,,http://www.saude.al.gov.br/2020/03/29/boletim-29-03-2020-alagoas-tem-17-casos-confirmados-para-covid-19/
30/03/2020,Porto Real do Colégio,AL,1,,
29/03/2020,Anori,AM,1,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383
30/03/2020,Anori,AM,1,,
26/03/2020,Boca do Acre,AM,1,,
27/03/2020,Boca do Acre,AM,1,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4377
28/03/2020,Boca do Acre,AM,1,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4381
29/03/2020,Boca do Acre,AM,1,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383
30/03/2020,Boca do Acre,AM,1,,
29/03/2020,Itacoatiara,AM,2,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383
30/03/2020,Itacoatiara,AM,2,,
27/03/2020,Manacapuru,AM,2,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4377
28/03/2020,Manacapuru,AM,2,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4381
29/03/2020,Manacapuru,AM,2,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383
30/03/2020,Manacapuru,AM,2,,
13/03/2020,Manaus,AM,1,,https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2020/03/13/amazonas-confirma-1-caso-de-coronavirus-no-estado-e-na-regiao-norte.htm
14/03/2020,Manaus,AM,1,,
15/03/2020,Manaus,AM,1,,
16/03/2020,Manaus,AM,1,,https://g1.globo.com/am/amazonas/noticia/2020/03/16/paciente-que-testou-positivo-para-coronavirus-no-amazonas-esta-recuperada-diz-governo.ghtml
17/03/2020,Manaus,AM,1,,
18/03/2020,Manaus,AM,2,,https://g1.globo.com/am/amazonas/noticia/2020/03/18/manaus-tem-situacao-de-emergencia-decretada-por-conta-do-novo-coronavirus.ghtml
19/03/2020,Manaus,AM,3,,https://d24am.com/amazonas/sobe-para-tres-os-casos-do-novo-coronavirus-em-manaus-confirma-a-fvs/
20/03/2020,Manaus,AM,7,,http://www.amazonas.am.gov.br/2020/03/amazonas-tem-sete-casos-confirmados-do-novo-coronavirus/
21/03/2020,Manaus,AM,11,,
22/03/2020,Manaus,AM,25,,
23/03/2020,Manaus,AM,31,,
24/03/2020,Manaus,AM,45,,
25/03/2020,Manaus,AM,52,,
26/03/2020,Manaus,AM,63,,
27/03/2020,Manaus,AM,75,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4377
28/03/2020,Manaus,AM,105,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4381
29/03/2020,Manaus,AM,131,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383
30/03/2020,Manaus,AM,140,,
30/03/2020,Novo Airão,AM,1,,
22/03/2020,Parintins,AM,1,,
23/03/2020,Parintins,AM,1,,
24/03/2020,Parintins,AM,2,,
25/03/2020,Parintins,AM,2,1,
26/03/2020,Parintins,AM,2,1,
27/03/2020,Parintins,AM,2,1,http://www.saude.am.gov.br/visualizar-noticia.php?id=4377
28/03/2020,Parintins,AM,2,1,http://www.saude.am.gov.br/visualizar-noticia.php?id=4381
29/03/2020,Parintins,AM,2,1,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383
30/03/2020,Parintins,AM,3,1,
26/03/2020,Santo Antônio do Içá,AM,1,,
27/03/2020,Santo Antônio do Içá,AM,1,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4377
28/03/2020,Santo Antônio do Içá,AM,1,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4381
29/03/2020,Santo Antônio do Içá,AM,1,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383
30/03/2020,Santo Antônio do Içá,AM,1,,
20/03/2020,Macapá,AP,1,,https://www.portal.ap.gov.br/noticia/2003/coronavirus-primeiro-caso-e-confirmado-no-amapa
21/03/2020,Macapá,AP,1,,
22/03/2020,Macapá,AP,1,,
23/03/2020,Macapá,AP,1,,
24/03/2020,Macapá,AP,1,,
25/03/2020,Macapá,AP,2,,
26/03/2020,Macapá,AP,2,,
27/03/2020,Macapá,AP,3,,
28/03/2020,Macapá,AP,4,,https://www.portal.ap.gov.br/noticia/2803/boletim-informativo-covid-19-amapa-confirma-4-ordm-caso-de-novo-coronavirus
29/03/2020,Macapá,AP,4,,https://www.portal.ap.gov.br/noticia/2903/boletim-informativo-covid-19-amapa-29-de-marco-de-2020
30/03/2020,Macapá,AP,8,,
26/03/2020,Alagoinhas,BA,1,,
27/03/2020,Alagoinhas,BA,1,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Alagoinhas,BA,1,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Alagoinhas,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Alagoinhas,BA,1,,
22/03/2020,Barreiras,BA,1,,
23/03/2020,Barreiras,BA,1,,
24/03/2020,Barreiras,BA,1,,
25/03/2020,Barreiras,BA,1,,
26/03/2020,Barreiras,BA,1,,
27/03/2020,Barreiras,BA,1,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Barreiras,BA,1,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Barreiras,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Barreiras,BA,1,,
23/03/2020,Brumado,BA,1,,
24/03/2020,Brumado,BA,1,,
25/03/2020,Brumado,BA,1,,
26/03/2020,Brumado,BA,1,,
27/03/2020,Brumado,BA,1,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Brumado,BA,1,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Brumado,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Brumado,BA,1,,
20/03/2020,Camaçari,BA,1,,
21/03/2020,Camaçari,BA,1,,
22/03/2020,Camaçari,BA,1,,
23/03/2020,Camaçari,BA,1,,
24/03/2020,Camaçari,BA,1,,
25/03/2020,Camaçari,BA,1,,
26/03/2020,Camaçari,BA,1,,
27/03/2020,Camaçari,BA,1,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Camaçari,BA,1,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Camaçari,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Camaçari,BA,1,,
25/03/2020,Canarana,BA,1,,
26/03/2020,Canarana,BA,1,,
27/03/2020,Canarana,BA,1,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Canarana,BA,1,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Canarana,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Canarana,BA,1,,
22/03/2020,Conceição do Jacuípe,BA,1,,
23/03/2020,Conceição do Jacuípe,BA,1,,
24/03/2020,Conceição do Jacuípe,BA,1,,
25/03/2020,Conceição do Jacuípe,BA,1,,
26/03/2020,Conceição do Jacuípe,BA,1,,
27/03/2020,Conceição do Jacuípe,BA,1,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Conceição do Jacuípe,BA,1,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Conceição do Jacuípe,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Conceição do Jacuípe,BA,1,,
24/03/2020,Conde,BA,1,,
25/03/2020,Conde,BA,1,,
26/03/2020,Conde,BA,1,,
27/03/2020,Conde,BA,1,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Conde,BA,1,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Conde,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Conde,BA,1,,
30/03/2020,Dias d'Ávila,BA,1,,
06/03/2020,Feira de Santana,BA,1,,
07/03/2020,Feira de Santana,BA,2,,
08/03/2020,Feira de Santana,BA,2,,
09/03/2020,Feira de Santana,BA,2,,
10/03/2020,Feira de Santana,BA,2,,
11/03/2020,Feira de Santana,BA,3,,
12/03/2020,Feira de Santana,BA,3,,
13/03/2020,Feira de Santana,BA,4,,
14/03/2020,Feira de Santana,BA,5,,
15/03/2020,Feira de Santana,BA,5,,
16/03/2020,Feira de Santana,BA,5,,
17/03/2020,Feira de Santana,BA,5,,
18/03/2020,Feira de Santana,BA,5,,
19/03/2020,Feira de Santana,BA,5,,
20/03/2020,Feira de Santana,BA,6,,
21/03/2020,Feira de Santana,BA,6,,
22/03/2020,Feira de Santana,BA,6,,
23/03/2020,Feira de Santana,BA,6,,
24/03/2020,Feira de Santana,BA,8,,
25/03/2020,Feira de Santana,BA,8,,
26/03/2020,Feira de Santana,BA,9,,
27/03/2020,Feira de Santana,BA,9,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Feira de Santana,BA,9,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Feira de Santana,BA,9,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Feira de Santana,BA,12,,
25/03/2020,Ilhéus,BA,1,,
26/03/2020,Ilhéus,BA,1,,
27/03/2020,Ilhéus,BA,2,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Ilhéus,BA,2,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Ilhéus,BA,2,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Ilhéus,BA,2,,
27/03/2020,Ipiaú,BA,1,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
19/03/2020,Itabuna,BA,1,,
20/03/2020,Itabuna,BA,1,,
21/03/2020,Itabuna,BA,1,,
22/03/2020,Itabuna,BA,1,,
23/03/2020,Itabuna,BA,1,,
24/03/2020,Itabuna,BA,1,,
25/03/2020,Itabuna,BA,1,,
26/03/2020,Itabuna,BA,2,,
27/03/2020,Itabuna,BA,2,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Itabuna,BA,2,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Itabuna,BA,2,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Itabuna,BA,3,,
28/03/2020,Itagibá,BA,1,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Itagibá,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Itagibá,BA,1,,
29/03/2020,Itamaraju,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Itamaraju,BA,1,,
29/03/2020,Itororó,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Itororó,BA,1,,
23/03/2020,Jequié,BA,1,,
24/03/2020,Jequié,BA,1,,
25/03/2020,Jequié,BA,1,,
26/03/2020,Jequié,BA,1,,
27/03/2020,Jequié,BA,1,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Jequié,BA,1,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Jequié,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Jequié,BA,1,,
23/03/2020,Juazeiro,BA,1,,
24/03/2020,Juazeiro,BA,2,,
25/03/2020,Juazeiro,BA,2,,
26/03/2020,Juazeiro,BA,2,,
27/03/2020,Juazeiro,BA,2,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Juazeiro,BA,2,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Juazeiro,BA,2,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Juazeiro,BA,2,,
19/03/2020,Lauro de Freitas,BA,2,,
20/03/2020,Lauro de Freitas,BA,3,,
21/03/2020,Lauro de Freitas,BA,3,,
22/03/2020,Lauro de Freitas,BA,3,,
23/03/2020,Lauro de Freitas,BA,3,,
24/03/2020,Lauro de Freitas,BA,3,,
25/03/2020,Lauro de Freitas,BA,3,,
26/03/2020,Lauro de Freitas,BA,5,,
27/03/2020,Lauro de Freitas,BA,7,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Lauro de Freitas,BA,7,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Lauro de Freitas,BA,11,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Lauro de Freitas,BA,12,,
30/03/2020,Nova Soure,BA,1,,
29/03/2020,Pojuca,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Pojuca,BA,1,,
16/03/2020,Porto Seguro,BA,1,,
17/03/2020,Porto Seguro,BA,3,,
18/03/2020,Porto Seguro,BA,4,,
19/03/2020,Porto Seguro,BA,4,,
20/03/2020,Porto Seguro,BA,4,,
21/03/2020,Porto Seguro,BA,5,,
22/03/2020,Porto Seguro,BA,7,,
23/03/2020,Porto Seguro,BA,8,,
24/03/2020,Porto Seguro,BA,8,,
25/03/2020,Porto Seguro,BA,8,,
26/03/2020,Porto Seguro,BA,10,,
27/03/2020,Porto Seguro,BA,10,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Porto Seguro,BA,10,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Porto Seguro,BA,10,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Porto Seguro,BA,10,,
17/03/2020,Prado,BA,1,,
18/03/2020,Prado,BA,1,,
19/03/2020,Prado,BA,1,,
20/03/2020,Prado,BA,1,,
21/03/2020,Prado,BA,2,,
22/03/2020,Prado,BA,2,,
23/03/2020,Prado,BA,2,,
24/03/2020,Prado,BA,2,,
25/03/2020,Prado,BA,2,,
26/03/2020,Prado,BA,2,,
27/03/2020,Prado,BA,2,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Prado,BA,3,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Prado,BA,3,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Prado,BA,2,,
13/03/2020,Salvador,BA,3,,
14/03/2020,Salvador,BA,4,,
15/03/2020,Salvador,BA,4,,
16/03/2020,Salvador,BA,4,,
17/03/2020,Salvador,BA,5,,http://www.saude.ba.gov.br/2020/03/17/bahia-confirma-14-casos-do-novo-coronavirus-covid-19/
18/03/2020,Salvador,BA,17,,http://www.saude.ba.gov.br/2020/03/18/retificacao-%c7%80-bahia-confirma-27-casos-do-novo-coronavirus-covid-19/
19/03/2020,Salvador,BA,18,,http://www.saude.ba.gov.br/2020/03/19/bahia-segue-com-31-casos-confirmados-de-covid-19/
20/03/2020,Salvador,BA,18,,http://www.saude.ba.gov.br/2020/03/20/bahia-confirma-34-casos-de-covid-19/
21/03/2020,Salvador,BA,23,,
22/03/2020,Salvador,BA,33,,
23/03/2020,Salvador,BA,37,,
24/03/2020,Salvador,BA,48,,
25/03/2020,Salvador,BA,57,,
26/03/2020,Salvador,BA,63,,
27/03/2020,Salvador,BA,78,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Salvador,BA,81,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Salvador,BA,103,1,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Salvador,BA,117,2,
25/03/2020,São Domingos,BA,1,,
26/03/2020,São Domingos,BA,1,,
27/03/2020,São Domingos,BA,1,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,São Domingos,BA,1,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,São Domingos,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,São Domingos,BA,1,,
24/03/2020,Teixeira de Freitas,BA,1,,
25/03/2020,Teixeira de Freitas,BA,1,,
26/03/2020,Teixeira de Freitas,BA,1,,
27/03/2020,Teixeira de Freitas,BA,1,,http://www.saude.ba.gov.br/2020/03/27/bahia-registra-123-casos-confirmados-de-covid-19/
28/03/2020,Teixeira de Freitas,BA,1,,http://www.saude.ba.gov.br/2020/03/28/bahia-registra-127-casos-confirmados-de-covid-19/
29/03/2020,Teixeira de Freitas,BA,1,,http://www.saude.ba.gov.br/2020/03/29/bahia-tem-156-casos-confirmados-de-covid-19/
30/03/2020,Teixeira de Freitas,BA,1,,
16/03/2020,Aquiraz,CE,1,,
17/03/2020,Aquiraz,CE,1,,
18/03/2020,Aquiraz,CE,1,,
19/03/2020,Aquiraz,CE,1,,estimativa - boletim não quebra por municipio
20/03/2020,Aquiraz,CE,1,,
21/03/2020,Aquiraz,CE,4,,
22/03/2020,Aquiraz,CE,5,,
23/03/2020,Aquiraz,CE,6,,
24/03/2020,Aquiraz,CE,6,,
25/03/2020,Aquiraz,CE,6,,
26/03/2020,Aquiraz,CE,6,,
27/03/2020,Aquiraz,CE,6,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/Informe_di%C3%A1rio_covid19_27_03_20_espce.pdf
28/03/2020,Aquiraz,CE,7,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_28_03_20_v3.pdf
29/03/2020,Aquiraz,CE,7,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_29_03_20.pdf
30/03/2020,Aquiraz,CE,14,,
30/03/2020,Beberibe,CE,1,,
28/03/2020,Caucaia,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_28_03_20_v3.pdf
29/03/2020,Caucaia,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_29_03_20.pdf
30/03/2020,Caucaia,CE,1,,
15/03/2020,Fortaleza,CE,3,,https://www.saude.ce.gov.br/2020/03/15/ceara-confirma-tres-casos-do-novo-coronavirus/
16/03/2020,Fortaleza,CE,8,,https://g1.globo.com/ce/ceara/noticia/2020/03/17/sobe-para-11-numero-de-casos-de-coronavirus-no-ceara.ghtml
17/03/2020,Fortaleza,CE,10,,https://g1.globo.com/ce/ceara/noticia/2020/03/17/sobe-para-11-numero-de-casos-de-coronavirus-no-ceara.ghtml
18/03/2020,Fortaleza,CE,18,,https://g1.globo.com/ce/ceara/noticia/2020/03/18/ceara-confirma-20-casos-de-coronavirus.ghtml
19/03/2020,Fortaleza,CE,22,,https://www.opovo.com.br/coronavirus/2020/03/19/sobe-para-24-o-numero-de-casos-confirmados-de-coronavirus-no-ceara.html
20/03/2020,Fortaleza,CE,64,,https://coronavirus.ceara.gov.br/boletins/
21/03/2020,Fortaleza,CE,77,,
22/03/2020,Fortaleza,CE,117,,
23/03/2020,Fortaleza,CE,153,,
24/03/2020,Fortaleza,CE,172,,
25/03/2020,Fortaleza,CE,198,,
26/03/2020,Fortaleza,CE,222,,
27/03/2020,Fortaleza,CE,268,3,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/Informe_di%C3%A1rio_covid19_27_03_20_espce.pdf
28/03/2020,Fortaleza,CE,304,4,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_28_03_20_v3.pdf
29/03/2020,Fortaleza,CE,338,5,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_29_03_20.pdf
30/03/2020,Fortaleza,CE,353,5,
20/03/2020,Fortim,CE,1,,
21/03/2020,Fortim,CE,1,,
22/03/2020,Fortim,CE,1,,
23/03/2020,Fortim,CE,1,,
24/03/2020,Fortim,CE,1,,
25/03/2020,Fortim,CE,1,,
26/03/2020,Fortim,CE,1,,
27/03/2020,Fortim,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/Informe_di%C3%A1rio_covid19_27_03_20_espce.pdf
28/03/2020,Fortim,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_28_03_20_v3.pdf
29/03/2020,Fortim,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_29_03_20.pdf
30/03/2020,Fortim,CE,1,,
29/03/2020,Itaitinga,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_29_03_20.pdf
30/03/2020,Itaitinga,CE,1,,
20/03/2020,Juazeiro do Norte,CE,1,,
21/03/2020,Juazeiro do Norte,CE,1,,
22/03/2020,Juazeiro do Norte,CE,1,,
23/03/2020,Juazeiro do Norte,CE,1,,
24/03/2020,Juazeiro do Norte,CE,1,,
25/03/2020,Juazeiro do Norte,CE,1,,
26/03/2020,Juazeiro do Norte,CE,1,,
27/03/2020,Juazeiro do Norte,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/Informe_di%C3%A1rio_covid19_27_03_20_espce.pdf
28/03/2020,Juazeiro do Norte,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_28_03_20_v3.pdf
29/03/2020,Juazeiro do Norte,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_29_03_20.pdf
30/03/2020,Juazeiro do Norte,CE,1,,
29/03/2020,Maracanaú,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_29_03_20.pdf
30/03/2020,Maracanaú,CE,1,,
27/03/2020,Maranguape,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/Informe_di%C3%A1rio_covid19_27_03_20_espce.pdf
28/03/2020,Maranguape,CE,1,,https://coronavirus.ceara.gov.br/wp-content/uploads/2020/03/informe_diario_coronavirus_28_03_20_v3.pdf
